SampleID,Diversity,R^2,MAE,AD,1-BC,RMSE,Sens,FPRA,Pipeline,threshold,Source,combined_name,num_seqs,sum_len,min_len,avg_len,max_len,num_seqs_stddev,sum_len_stddev,min_len_stddev,avg_len_stddev,max_len_stddev
,101.0,0.751,0.0008200000000000001,18.032000000000004,0.7878999999999999,0.00256,100.0,2.6845399999999997,jams,1e-05,mixed,mixed,2012091.00 ,403848279.20 ,100.00 ,200.71 ,205.00 , 184747.85, 37416661.58, 0.00, 1.55, 0.00
EG,78.0,0.3451,0.0084,16.5605,0.672,0.0309,78.5714,25.9674,jams,1e-05,nist,EG_nist,3353278.00 ,282025983.00 ,15.00 ,84.10 ,151.00 , 0.00, 3833426.68, 0.00, 1.13, 0.00
MIX-A,23.0,0.1201,0.045,17.9931,0.4825,0.1262,54.5455,51.3292,jams,1e-05,nist,MIX-A_nist,3473553.00 ,365925482.50 ,19.00 ,105.35 ,151.00 , 0.00, 2529868.96, 5.66, 0.78, 0.00
MIX-B,27.0,0.3613,0.0306,17.0706,0.5871,0.0876,63.6364,33.5405,jams,1e-05,nist,MIX-B_nist,3583192.00 ,376371686.50 ,18.50 ,105.05 ,151.00 , 0.00, 2769876.56, 4.95, 0.78, 0.00
MIX-C,32.0,0.4858,0.0255,15.782,0.5923,0.068,81.8182,23.7818,jams,1e-05,nist,MIX-C_nist,2974354.00 ,325816856.00 ,16.50 ,109.55 ,151.00 , 0.00, 2268975.55, 2.12, 0.78, 0.00
MIX-D,31.0,0.9009,0.0112,13.2484,0.8261,0.0305,72.7273,3.7497,jams,1e-05,nist,MIX-D_nist,3278203.00 ,373347674.50 ,20.00 ,113.85 ,151.00 , 0.00, 2103394.48, 7.07, 0.64, 0.00
,39.333333333333336,0.6284666666666667,0.0019,11.503949999999998,0.77535,0.0030333333333333328,100.0,6.861000000000001,jams,1e-05,tourlousse,tourlousse,5897627.83 ,855639825.08 ,15.00 ,145.12 ,151.00 , 378678.85, 51884672.55, 0.00, 1.31, 0.00
S1,551.0,0.0983,0.0025,43.6908,0.3121,0.0191,50.0,38.4051,wgsa2,1e-05,bmock12,S1_bmock12,100500000.00 ,15175500000.00 ,151.00 ,151.00 ,151.00 , 0.00, 0.00, 0.00, 0.00, 0.00
S1,123.0,0.777,0.0031,15.8955,0.8079,0.0144,97.3684,2.2353,wgsa2,1e-05,camisimGI,S1_camisimGI,16666158.00 ,2473504212.50 ,31.00 ,148.45 ,150.00 , 0.00, 12668039.31, 0.00, 0.78, 0.00
S2,85.0,0.7308,0.0051,15.5424,0.7842,0.0239,95.2381,4.2569,wgsa2,1e-05,camisimGI,S2_camisimGI,16666291.00 ,2473723888.00 ,31.00 ,148.45 ,150.00 , 0.00, 12664634.59, 0.00, 0.78, 0.00
,167.8,0.9193,0.00048000000000000007,14.41676,0.8034800000000001,0.00238,100.0,4.5219000000000005,wgsa2,1e-05,hilo,hilo,1899005.80 ,380831440.00 ,100.00 ,200.54 ,205.00 , 172132.60, 34742124.05, 0.00, 1.93, 0.00
,228.0,0.65228,0.00048000000000000007,26.110180000000003,0.73136,0.0022,100.0,14.540300000000002,wgsa2,1e-05,mixed,mixed,2012091.00 ,403848279.20 ,100.00 ,200.71 ,205.00 , 184747.85, 37416661.58, 0.00, 1.55, 0.00
EG,99.0,0.4818,0.008,18.7835,0.6061,0.0238,85.7143,17.5279,wgsa2,1e-05,nist,EG_nist,3353278.00 ,282025983.00 ,15.00 ,84.10 ,151.00 , 0.00, 3833426.68, 0.00, 1.13, 0.00
MIX-A,107.0,0.145,0.0107,19.1286,0.429,0.0594,81.8182,51.2514,wgsa2,1e-05,nist,MIX-A_nist,3473553.00 ,365925482.50 ,19.00 ,105.35 ,151.00 , 0.00, 2529868.96, 5.66, 0.78, 0.00
MIX-B,70.0,0.4578,0.0104,19.8542,0.6358,0.0476,81.8182,27.8025,wgsa2,1e-05,nist,MIX-B_nist,3583192.00 ,376371686.50 ,18.50 ,105.05 ,151.00 , 0.00, 2769876.56, 4.95, 0.78, 0.00
MIX-C,100.0,0.5009,0.0084,17.3277,0.5818,0.0434,90.9091,9.5041,wgsa2,1e-05,nist,MIX-C_nist,2974354.00 ,325816856.00 ,16.50 ,109.55 ,151.00 , 0.00, 2268975.55, 2.12, 0.78, 0.00
MIX-D,53.0,0.9021,0.0064,13.8901,0.8293,0.0239,90.9091,2.6975,wgsa2,1e-05,nist,MIX-D_nist,3278203.00 ,373347674.50 ,20.00 ,113.85 ,151.00 , 0.00, 2103394.48, 7.07, 0.64, 0.00
,178.16666666666666,0.5611666666666666,0.0005,24.990033333333333,0.7115833333333333,0.0021,100.0,20.602166666666665,wgsa2,1e-05,tourlousse,tourlousse,5897627.83 ,855639825.08 ,15.00 ,145.12 ,151.00 , 378678.85, 51884672.55, 0.00, 1.31, 0.00
S1,130.0,0.2516,0.0124,44.8238,0.1949,0.0667,8.3333,12.0865,woltka,1e-05,bmock12,S1_bmock12,100500000.00 ,15175500000.00 ,151.00 ,151.00 ,151.00 , 0.00, 0.00, 0.00, 0.00, 0.00
S1,213.0,0.77,0.0029,25.9976,0.686,0.0113,86.8421,8.8718,woltka,1e-05,camisimGI,S1_camisimGI,16666158.00 ,2473504212.50 ,31.00 ,148.45 ,150.00 , 0.00, 12668039.31, 0.00, 0.78, 0.00
S2,253.0,0.763,0.0028,24.9105,0.6456,0.0132,80.9524,31.0595,woltka,1e-05,camisimGI,S2_camisimGI,16666291.00 ,2473723888.00 ,31.00 ,148.45 ,150.00 , 0.00, 12664634.59, 0.00, 0.78, 0.00
,360.4,0.4039,0.0005,27.74158,0.53368,0.0036999999999999997,100.0,22.873420000000003,woltka,1e-05,hilo,hilo,1899005.80 ,380831440.00 ,100.00 ,200.54 ,205.00 , 172132.60, 34742124.05, 0.00, 1.93, 0.00
,511.4,0.5324399999999999,0.0003,37.23376,0.59934,0.0015,100.0,28.148519999999998,woltka,1e-05,mixed,mixed,2012091.00 ,403848279.20 ,100.00 ,200.71 ,205.00 , 184747.85, 37416661.58, 0.00, 1.55, 0.00
EG,751.0,0.1082,0.0018,42.056,0.3321,0.0138,71.4286,59.8155,woltka,1e-05,nist,EG_nist,3353278.00 ,282025983.00 ,15.00 ,84.10 ,151.00 , 0.00, 3833426.68, 0.00, 1.13, 0.00
MIX-A,400.0,0.0112,0.0044,36.2237,0.1271,0.0359,72.7273,85.4514,woltka,1e-05,nist,MIX-A_nist,3473553.00 ,365925482.50 ,19.00 ,105.35 ,151.00 , 0.00, 2529868.96, 5.66, 0.78, 0.00
MIX-B,510.0,0.3002,0.0026,43.1499,0.3438,0.0193,72.7273,61.1834,woltka,1e-05,nist,MIX-B_nist,3583192.00 ,376371686.50 ,18.50 ,105.05 ,151.00 , 0.00, 2769876.56, 4.95, 0.78, 0.00
MIX-C,567.0,0.0705,0.0025,37.1101,0.2827,0.0242,72.7273,69.8948,woltka,1e-05,nist,MIX-C_nist,2974354.00 ,325816856.00 ,16.50 ,109.55 ,151.00 , 0.00, 2268975.55, 2.12, 0.78, 0.00
MIX-D,404.0,0.6464,0.0019,33.2974,0.6229,0.0166,72.7273,20.4625,woltka,1e-05,nist,MIX-D_nist,3278203.00 ,373347674.50 ,20.00 ,113.85 ,151.00 , 0.00, 2103394.48, 7.07, 0.64, 0.00
,613.8333333333334,0.5119999999999999,0.0002833333333333333,39.4401,0.5340833333333334,0.0012,100.0,27.04641666666667,woltka,1e-05,tourlousse,tourlousse,5897627.83 ,855639825.08 ,15.00 ,145.12 ,151.00 , 378678.85, 51884672.55, 0.00, 1.31, 0.00
