SampleID,Diversity,R^2,MAE,AD,1-BC,RMSE,Sens,FPRA,Unclassified,Num_FP,Pipeline,threshold,Source
MIX-D,12,0.9471,0.0151,4.1345,0.9097,0.0299,72.7273,0.0607,0.0,1.0,biobakery3,0.0001,nist
MIX-D,12,0.9611,0.0117,4.1098,0.9301,0.0254,72.7273,0.1024,0.0,1.0,biobakery4,0.0001,nist
MIX-D,13,0.8862,0.0247,11.2166,0.8397,0.0446,81.8182,0.0194,0.0285880945139032,2.0,jams,0.0001,nist
MIX-D,17,0.8928,0.0173,8.9316,0.8534,0.0413,100.0,0.2506,0.0020430336276192,6.0,wgsa2,0.0001,nist
MIX-D,131,0.6511,0.0053,21.1155,0.6508,0.0288,81.8182,13.1948,0.0,120.0,woltka,0.0001,nist
S1,41,0.9939,0.0024,8.6188,0.9511,0.0052,100.0,0.5265,0.0,3.0,biobakery3,0.0001,camisimGI
S1,41,0.9868,0.0027,12.7647,0.9456,0.0062,89.4737,3.0566,0.0,3.0,biobakery4,0.0001,camisimGI
S1,51,0.9539,0.0048,15.0361,0.8765,0.0097,97.3684,1.4388,0.022530659379655,13.0,jams,0.0001,camisimGI
S1,59,0.7585,0.0065,13.4764,0.8082,0.0209,97.3684,2.0432,0.0087779108031571,21.0,wgsa2,0.0001,camisimGI
S1,93,0.7576,0.0067,30.7596,0.6882,0.0171,86.8421,8.5091,0.0,55.0,woltka,0.0001,camisimGI
S2,22,0.9606,0.0067,1.2308,0.9264,0.0185,100.0,0.0586,0.0,1.0,biobakery3,0.0001,camisimGI
S2,22,0.9243,0.0113,7.1138,0.8757,0.0243,95.2381,3.8344,0.0,1.0,biobakery4,0.0001,camisimGI
S2,25,0.943,0.0095,4.8525,0.8818,0.0185,100.0,0.2055,0.0084543008466307,4.0,jams,0.0001,camisimGI
S2,45,0.7143,0.0095,6.3786,0.7868,0.0328,100.0,3.9102,0.0007626288976952,24.0,wgsa2,0.0001,camisimGI
S2,96,0.7546,0.0073,25.8766,0.6489,0.0215,80.9524,30.6668,0.0,75.0,woltka,0.0001,camisimGI
