SampleID,Diversity,R^2,MAE,AD,1-BC,RMSE,Sens,FPRA,Pipeline,threshold,Source,Unclassified
SRR11487934,12,0.2333,0.0657,5.9988,0.606,0.0967,90.9091,10.847,woltka,0.01,hilo,
SRR11487935,12,0.2232,0.066,5.9547,0.604,0.0975,90.9091,10.8592,woltka,0.01,hilo,
SRR11487931,17,0.9182,0.0168,10.9513,0.857,0.0303,87.5,0.8751,biobakery3,0.0001,hilo,0.0
SRR11487932,17,0.9074,0.0165,10.5054,0.8594,0.0309,81.25,0.9388,biobakery3,0.0001,hilo,0.0
SRR11487933,17,0.9109,0.0157,13.072,0.8669,0.0293,81.25,1.0776,biobakery3,0.0001,hilo,0.0
SRR11487934,17,0.9,0.0154,11.3667,0.8692,0.0309,87.5,1.0047,biobakery3,0.0001,hilo,0.0
SRR11487935,17,0.9153,0.0149,11.1975,0.8735,0.0283,81.25,1.1836,biobakery3,0.0001,hilo,0.0
SRR11487931,16,0.9209,0.0215,2.2141,0.8278,0.0429,100.0,0.0,biobakery4,0.0001,hilo,0.0
SRR11487932,16,0.9174,0.0223,2.236,0.8219,0.043,100.0,0.0,biobakery4,0.0001,hilo,0.0
SRR11487933,16,0.9296,0.02,2.1698,0.8398,0.0392,100.0,0.0,biobakery4,0.0001,hilo,0.0
SRR11487934,16,0.9241,0.021,2.2345,0.8324,0.0406,100.0,0.0,biobakery4,0.0001,hilo,0.0
SRR11487935,16,0.9312,0.0201,2.2836,0.8391,0.0388,100.0,0.0,biobakery4,0.0001,hilo,0.0
SRR11487931,19,0.9072,0.0186,8.6952,0.8233,0.0312,100.0,0.7685,jams,0.0001,hilo,0.0
SRR11487932,18,0.8999,0.0198,7.6305,0.8218,0.0327,100.0,0.7049,jams,0.0001,hilo,0.0
SRR11487933,19,0.9149,0.0175,7.7663,0.8337,0.0289,100.0,0.6833,jams,0.0001,hilo,0.0
SRR11487934,18,0.9049,0.0193,7.8571,0.8262,0.0314,100.0,0.7414,jams,0.0001,hilo,0.0
