Species,RA,TAX_ID
Dialister,1.7925397763258323e-06,39948
Nocardia,1.7925397763258323e-06,1817
Atopobacter,1.7925397763258323e-06,136491
Pyramidobacter,1.7925397763258323e-06,638847
Asticcacaulis,1.7925397763258323e-06,76890
Thalassomonas,1.6870962600713715e-06,137583
Cellulosilyticum,1.6870962600713715e-06,698776
Myroides,1.6870962600713715e-06,76831
Campylobacter,1.6870962600713715e-06,194
Paraliobacillus,1.6870962600713715e-06,200903
Candidatus Magnetomorum,1.6870962600713715e-06,1141978
Synechococcus,1.6870962600713715e-06,1129
Nitrolancea,1.6870962600713715e-06,1206748
Nitrincola,1.6870962600713715e-06,267849
Thalassobacter,1.6870962600713715e-06,266808
Orrella,1.6870962600713715e-06,1921582
Paeniclostridium,1.5816527438169108e-06,1849828
Salimicrobium,1.5816527438169108e-06,351195
Roseburia,1.5816527438169108e-06,841
Thiorhodococcus,1.5816527438169108e-06,57488
Candidatus Regiella,1.5816527438169108e-06,568988
Thiocystis,1.5816527438169108e-06,13724
Planomicrobium,1.5816527438169108e-06,162291
Acidovorax,1.5816527438169108e-06,12916
Flavobacterium,1.5289309856896804e-06,237
Sedimenticola,1.47620922756245e-06,349742
Acidithiobacillus,1.47620922756245e-06,119977
Caryophanon,1.47620922756245e-06,33976
Arenimonas,1.47620922756245e-06,490567
Candidatus Gullanella,1.47620922756245e-06,1906661
Gilvimarinus,1.47620922756245e-06,940550
Acholeplasma,1.47620922756245e-06,2147
Frischella,1.47620922756245e-06,1335631
Eremococcus,1.47620922756245e-06,171412
Marinospirillum,1.47620922756245e-06,64968
Zhongshania,1.47620922756245e-06,1434050
Geosporobacter,1.47620922756245e-06,390805
Oceanimonas,1.47620922756245e-06,129577
Thauera,1.4234874694352197e-06,33057
Microbacterium,1.4234874694352197e-06,33882
Mesorhizobium,1.4234874694352197e-06,68287
Dyella,1.3707657113079893e-06,231454
Algicola,1.3707657113079893e-06,296014
Lacinutrix,1.3707657113079893e-06,291183
Skermanella,1.3707657113079893e-06,204447
Desulfitobacterium,1.3707657113079893e-06,36853
Candidatus Schmidhempelia,1.3707657113079893e-06,1505768
Risungbinella,1.3707657113079893e-06,1763555
Pseudoflavonifractor,1.3707657113079893e-06,1017280
Roseimaritima,1.3707657113079893e-06,1579506
