genus,SRR540392,tax_id
AEQUORIVITA,0.0,153265
ACUTICOCCUS,0.0,1904377
ACTINOTIGNUM,0.0,1653174
ACIDIANUS,0.0,12914
ACAULOSPORA,0.0,27372
ACETATIFACTOR,0.0,1427378
ACETIVIBRIO,0.0,35829
ACETOBACTERIUM,0.0,33951
ACETOBACTEROIDES,0.0,1647173
ACHOLEPLASMA,0.0,2147
ACHROMOBACTER,0.0,222
ACIDAMINOCOCCUS,0.0,904
ACIDOBACTERIUM,0.0,33973
ACTINOTALEA,0.0,458839
ACIDOVORAX,0.0,12916
ACROCARPOSPORA,0.0,90974
ACTINOKINEOSPORA,0.0,39845
ACTINOMADURA,0.0,1988
ACTINOMORTIERELLA,0.0,2779867
ACTINOMYCES,0.0,1654
ACTINOSPICA,0.0,414715
ACTINOSYNNEMA,0.0,40566
ANAEROSALIBACTER,0.0,1347386
ANEURINIBACILLUS,0.0,55079
ANGELAKISELLA,0.0,1935176
BRASILONEMA,0.0,383614
BLATTABACTERIUM,0.0,34098
BLUMERIA,0.0,34372
BORDETELLA,0.0,517
BOSEA,0.0,85413
BOTRYOBASIDIUM,0.0,68793
BRACHYBACTERIUM,0.0,43668
BRACHYSPIRA,0.0,29521
BRADYRHIZOBIUM,0.0,374
BREVIBACTERIUM,0.0,1696
BILOPHILA,0.0,35832
BREVILACTIBACTER,0.0,1085622
BREVUNDIMONAS,0.0,41275
BULLEIDIA,0.0,118747
BURKHOLDERIA,0.0,32008
CABALLERONIA,0.0,1827195
CAENIMONAS,0.0,763439
CALDALKALIBACILLUS,0.0,379065
CALDIBACILLUS,0.0,1276290
BLASTOMYCES,0.0,229219
BHARGAVAEA,0.0,941338
APHANOCAPSA,0.0,1119
ASANOA,0.0,195964
APILACTOBACILLUS,0.0,2767877
APIOSPORA,0.0,1811811
AQUABACTER,0.0,45402
AQUASPIRILLUM,0.0,187
AQUIRUFA,0.0,2676247
